biomarker_id,name,nutrient_id,unit,description

B001,Serum Total Protein,N001,g/dL,Measures overall protein status
B002,Albumin,N001,g/dL,Reflects long-term protein nutrition
B003,Prealbumin,N001,mg/dL,Short-term protein status indicator
B004,Fasting Blood Glucose,N002,mg/dL,Carbohydrate metabolism marker
B005,HbA1c,N002,%,Long-term glucose control
B006,C-Peptide,N002,ng/mL,Endogenous insulin production marker
B007,Triglycerides,N003,mg/dL,Fat metabolism indicator
B008,VLDL Cholesterol,N003,mg/dL,Very-low-density lipoprotein status
B009,Free Fatty Acids,N003,mmol/L,Fat utilization marker
B010,Serum Ferritin,N004,ng/mL,Iron storage indicator
B011,Serum Iron,N004,µg/dL,Circulating iron level
B012,Transferrin Saturation,N004,%,Iron transport efficiency
B013,Serum Calcium,N005,mg/dL,Bone and calcium status
B014,Ionized Calcium,N005,mmol/L,Physiologically active calcium
B015,Bone-Specific Alkaline Phosphatase,N005,U/L,Bone formation marker
B016,Serum Magnesium,N006,mg/dL,Magnesium level
B017,RBC Magnesium,N006,mg/dL,Intracellular magnesium (more accurate)
B018,Plasma Zinc,N007,µg/dL,Zinc nutritional status
B019,Alkaline Phosphatase,N007,U/L,Zinc-dependent enzyme activity
B020,Serum Potassium,N008,mmol/L,Electrolyte balance
B021,Urinary Potassium,N008,mmol/day,Potassium excretion
B022,Serum Sodium,N009,mmol/L,Sodium balance indicator
B023,Urinary Sodium,N009,mmol/day,Sodium intake marker
B024,Serum Phosphate,N010,mg/dL,Phosphorus status
B025,FGF23,N010,pg/mL,Phosphate regulation hormone
B026,Serum Selenium,N011,µg/L,Selenium level
B027,Glutathione Peroxidase Activity,N011,U/L,Selenium-dependent enzyme
B028,Serum Copper,N012,µg/dL,Copper status
B029,Ceruloplasmin,N012,mg/dL,Copper transport protein
B030,Urinary Iodine,N013,µg/L,Iodine intake marker
B031,TSH,N013,µIU/mL,Thyroid function indicator
B032,25-Hydroxy Vitamin D,N014,ng/mL,Vitamin D status
B033,25-Dihydroxy Vitamin D,N014,pg/mL,Active vitamin D form
B034,Serum Vitamin B12,N015,pg/mL,B12 level
B035,Methylmalonic Acid,N015,µmol/L,Functional B12 deficiency marker
B036,Serum Folate,N016,ng/mL,Folate status
B037,RBC Folate,N016,ng/mL,Long-term folate tissue status
B038,Serum Retinol,N017,µg/dL,Vitamin A status
B039,Retinol Binding Protein,N017,mg/dL,Vitamin A transport
B040,Plasma Vitamin C,N018,mg/dL,Vitamin C level
B041,Leukocyte Vitamin C,N018,mg/dL,Tissue vitamin C
B042,Serum Alpha-Tocopherol,N019,mg/L,Vitamin E status
B043,Gamma-Tocopherol,N019,mg/L,Dietary vitamin E marker
B044,Prothrombin Time,N020,seconds,Vitamin K dependent clotting
B045,ucOsteocalcin,N020,ng/mL,Functional Vitamin K status
B046,Pyridoxal-5-Phosphate (PLP),N021,nmol/L,Active Vitamin B6 status
B047,Homocysteine,N021,µmol/L,B6/B9/B12 metabolism marker
B048,Erythrocyte Transketolase,N022,U/L,Thiamine status
B049,Thiamine Pyrophosphate,N022,nmol/L,Active B1 form
B050,EGRAC,N023,ratio,Riboflavin activation coefficient
B051,Plasma Riboflavin,N023,ng/mL,Vitamin B2 level
B052,Omega-3 Index,N024,%,EPA+DHA in RBC membranes
B053,EPA/AA Ratio,N024,ratio,Anti-inflammatory balance marker
B054,LDL Cholesterol,N025,mg/dL,Atherogenic cholesterol
B055,HDL Cholesterol,N025,mg/dL,Reverse cholesterol transport
B056,Non-HDL Cholesterol,N025,mg/dL,Total atherogenic burden
B057,Serum Biotin,N026,ng/L,Direct Biotin level
B058,Urinary 3-Hydroxyisovalerate,N026,µmol/day,Functional Biotin marker
B059,Serum Pantothenic Acid,N027,µg/dL,Vitamin B5 status
B060,Urinary Pantothenate,N027,mg/day,Excretion of Vitamin B5
B061,Serum Niacin,N028,µg/mL,Vitamin B3 status
B062,Urinary N-Methylnicotinamide,N028,mg/day,Niacin metabolite
B063,ApoB/ApoA1 Ratio,N029,ratio,Saturated fat impact on lipids
B064,Serum Manganese,N033,µg/L,Manganese status
B065,RBC Manganese,N033,µg/L,Tissue manganese levels
B066,Propionate/Acetate Ratio,N031,ratio,Microbial fiber fermentation
B067,Stool Consistency (Bristol Scale),N031,score,Physical fiber impact
B068,Serum Choline,N032,µmol/L,Choline status
B069,Betaine,N032,µmol/L,Choline metabolite
B070,Plasma Lycopene,N043,µg/dL,Lycopene intake marker
B071,hs-CRP,N053,mg/L,High-sensitivity C-Reactive Protein
B072,Total Antioxidant Status (TAS),N051,mmol/L,Overall antioxidant capacity
B073,Serum Bilirubin,N052,mg/dL,Heme catabolism/antioxidant marker
