biomarker_id,name,low_male,high_male,low_female,high_female
B001,Serum Ferritin,30,400,15,150
B002,Serum Iron,65,175,50,170
B003,Transferrin Saturation (TSAT),20,50,20,50
B004,Serum Calcium,8.6,10.3,8.6,10.3
B005,Ionized Calcium,1.1,1.35,1.1,1.35
B006,Bone Specific Alkaline Phosphatase,7,20,7,22
B007,Serum Magnesium,1.7,2.2,1.7,2.2
B008,RBC Magnesium,4.2,6.8,4.2,6.8
B009,Plasma Zinc,70,120,70,120
B010,Alkaline Phosphatase (ALP),40,129,35,120
B011,Serum Potassium,3.5,5.1,3.5,5.1
B012,Urinary Potassium,25,125,25,125
B013,Serum Sodium,135,145,135,145
B014,Urinary Sodium,40,220,40,220
B015,Serum Phosphate,2.5,4.5,2.5,4.5
B016,FGF23,20,50,20,50
B017,Serum Selenium,70,150,70,150
B018,GPx Activity,4000,15000,4000,15000
B019,Serum Copper,70,140,80,155
B020,Ceruloplasmin,20,60,20,60
B021,Urinary Iodine,100,199,100,199
B022,TSH,0.4,4.5,0.4,4.5
B023,25-Hydroxy Vitamin D,30,100,30,100
B024,1-25-Dihydroxy Vitamin D,20,76,20,76
B025,Serum Vitamin B12,200,900,200,900
B026,Methylmalonic Acid (MMA),0,0.4,0,0.4
B027,Serum Folate,3,17,3,17
B028,RBC Folate,140,628,140,628
B029,Serum Retinol,20,60,20,60
B030,Retinol Binding Protein (RBP),3,6,3,6
B031,Plasma Vitamin C,0.4,2,0.4,2
B032,Leukocyte Vitamin C,15,30,15,30
B033,Serum Alpha Tocopherol,5,20,5,20
B034,Gamma Tocopherol,1,5,1,5
B035,Prothrombin Time (PT),11,14,11,14
B036,Undercarboxylated Osteocalcin,0,4,0,4
B037,Pyridoxal 5 Phosphate (PLP),20,125,20,125
B038,Homocysteine (Hcy),0,15,0,15
B039,Erythrocyte Transketolase,40,90,40,90
B040,Thiamine Pyrophosphate (TPP),70,180,70,180
B041,EGRAC,1,1.2,1,1.2
B042,Plasma Riboflavin,1,19,1,19
B043,Serum Biotin,200,500,200,500
B044,Urinary 3-Hydroxyisovalerate,0,190,0,190
B045,Serum Pantothenic Acid,1.6,4.5,1.6,4.5
B046,Urinary Pantothenate,1,10,1,10
B047,Serum Niacin,0.5,8,0.5,8
B048,Urinary N-Methylnicotinamide,1.6,4.3,1.6,4.3
B049,LDL Cholesterol,0,100,0,100
B050,HDL Cholesterol,40,60,50,70
B051,ApoB/ApoA1 Ratio,0.4,0.9,0.3,0.8
B052,Omega-3 Index,8,12,8,12
B053,Serum Albumin,3.4,5.4,3.4,5.4
B054,HbA1c,4,5.6,4,5.6
B055,Propionate/Acetate Ratio,0.15,0.25,0.15,0.25
B056,Fasting Glucose,70,99,70,99
B057,Serum Manganese,4.7,18.3,4.7,18.3
B058,Serum Choline,7,20,7,20
B059,hs-CRP,0,1,0,1
B060,Total Antioxidant Status (TAS),1.3,1.77,1.3,1.77
B061,Serum Bilirubin,0.1,1.2,0.1,1.2
