food_id,food_name,category,serving_size,serving_unit,diet_type,nutrients
F001,Spinach (Cheera),Leaf,100,g,Vegetarian,Iron|Magnesium|Folate (Vitamin B9)|Vitamin A|Vitamin C|Vitamin K|Dietary Fiber
F002,Muringila (Moringa Leaves),Leaf,100,g,Vegetarian,Iron|Calcium|Vitamin A|Vitamin C|Net Protein|Dietary Fiber
F003,Methi (Fenugreek Leaves),Leaf,100,g,Vegetarian,Iron|Folate (Vitamin B9)|Vitamin C|Dietary Fiber|Glucose/Glycemic Impact|Potassium
F004,Curry Leaves,Leaf,100,g,Vegetarian,Iron|Calcium|Magnesium|Vitamin A|Vitamin C|Manganese
F005,Amaranth Leaves,Leaf,100,g,Vegetarian,Iron|Calcium|Folate (Vitamin B9)|Vitamin A|Vitamin C|Dietary Fiber
F006,Parsley,Leaf,100,g,Vegetarian,Iron|Folate (Vitamin B9)|Vitamin C|Vitamin K|Potassium|Calcium
F007,Malliyila (Coriander),Leaf,100,g,Vegetarian,Iron|Folate (Vitamin B9)|Vitamin A|Vitamin K|Vitamin C|Potassium
F008,Pudina (Mint Leaves),Leaf,100,g,Vegetarian,Iron|Potassium|Vitamin A|Vitamin C|Manganese|Dietary Fiber
F009,Lettuce,Leaf,100,g,Vegetarian,Potassium|Vitamin A|Vitamin K|Dietary Fiber|Folate (Vitamin B9)|Vitamin C
F010,Cabbage,Veg,100,g,Vegetarian,Calcium|Folate (Vitamin B9)|Vitamin C|Vitamin K|Dietary Fiber|Potassium
F011,Carrot,Veg,100,g,Vegetarian,Potassium|Folate (Vitamin B9)|Vitamin A|Vitamin C|Dietary Fiber|Total Carbohydrates
F012,Beetroot,Veg,100,g,Vegetarian,Potassium|Folate (Vitamin B9)|Vitamin C|Vitamin B6|Dietary Fiber|Glucose/Glycemic Impact
F013,Cucumber,Veg,100,g,Vegetarian,Magnesium|Potassium|Vitamin C|Vitamin K|Manganese|Sodium
F014,Tomato,Veg,100,g,Vegetarian,Magnesium|Potassium|Folate (Vitamin B9)|Vitamin C|Vitamin A|Glucose/Glycemic Impact
F015,Onion,Veg,100,g,Vegetarian,Magnesium|Potassium|Vitamin C|Vitamin B6|Dietary Fiber|Glucose/Glycemic Impact
F016,Garlic,Veg,100,g,Vegetarian,Magnesium|Potassium|Vitamin C|Vitamin B6|Selenium|Manganese
