map_id,nutrient_name,gene_symbol,interaction_type,impact_description
NG001,Iron,HFE,Regulation,Controls intestinal iron absorption
NG002,Iron,SLC40A1,Transport,Exports iron from cells to bloodstream
NG003,Iron,TF,Transport,Binds and transports iron
NG004,Iron,TFR2,Uptake,Facilitates iron uptake by cells
NG005,Iron,TMPRSS6,Regulation,Regulates hepcidin levels

NG006,Calcium,VDR,Absorption,Enhances intestinal calcium absorption
NG007,Calcium,CYP27B1,Activation,Activates vitamin D for calcium metabolism
NG008,Calcium,GC,Transport,Vitamin D transport influencing calcium

NG009,Vitamin D,VDR,Signaling,Controls vitamin D responsive genes
NG010,Vitamin D,CYP27B1,Activation,Converts vitamin D to active form
NG011,Vitamin D,GC,Transport,Vitamin D carrier protein

NG012,Protein,MTOR,Synthesis,Controls protein synthesis signaling
NG013,Protein,ALB,Transport,Plasma protein transport
NG014,Protein,LEP,Metabolism,Regulates appetite and protein intake

NG015,Carbohydrates,SLC5A1,Absorption,Glucose uptake in intestine
NG016,Carbohydrates,SLC2A2,Transport,Glucose transport in liver
NG017,Carbohydrates,INS,Regulation,Controls glucose utilization
NG018,Carbohydrates,GCK,Metabolism,Glucose phosphorylation

NG019,Fats,APOA1,Transport,HDL cholesterol formation
NG020,Fats,APOB,Transport,LDL particle formation
NG021,Fats,LDLR,Uptake,LDL cholesterol clearance
NG022,Fats,PCSK9,Regulation,Degrades LDL receptors

NG023,Omega-3,FADS1,Metabolism,PUFA conversion
NG024,Omega-3,FADS2,Metabolism,PUFA conversion
NG025,Omega-3,ELOVL2,Elongation,DHA synthesis

NG026,Folate,MTHFR,Metabolism,Homocysteine regulation
NG027,Folate,MTR,Recycling,Methylation cycle
NG028,Folate,MTRR,Recycling,Folate regeneration

NG029,Vitamin B12,TCN2,Transport,Vitamin B12 transport
NG030,Vitamin B12,FUT2,Absorption,Influences B12 absorption
NG031,Vitamin B12,MTR,Utilization,Methylation reactions

NG032,Vitamin C,SLC23A1,Absorption,Vitamin C uptake
NG033,Vitamin C,SLC23A2,Transport,Cellular vitamin C transport

NG034,Vitamin A,BCMO1,Conversion,Converts beta-carotene to retinol
NG035,Vitamin A,RBP4,Transport,Retinol transport

NG036,Zinc,SLC39A4,Absorption,Intestinal zinc uptake
