nutrient_id,name,unit,category
N001,Iron,mcg/dL,mineral
N002,Calcium,mg/dL,mineral
N003,Magnesium,mg/dL,mineral
N004,Zinc,mcg/dL,mineral
N005,Potassium,mmol/L,mineral
N006,Sodium,mmol/L,mineral
N007,Phosphorus,mg/dL,mineral
N008,Selenium,mcg/L,mineral
N009,Copper,mcg/dL,mineral
N010,Iodine,mcg/L,mineral
N011,Vitamin D,ng/mL,vitamin
N012,Vitamin B12,pg/mL,vitamin
N013,Folate (Vitamin B9),ng/mL,vitamin
N014,Vitamin A,mcg/dL,vitamin
N015,Vitamin C,mg/dL,vitamin
N016,Vitamin E,mg/L,vitamin
N017,Vitamin K,ng/mL,vitamin
N018,Vitamin B6,ng/mL,vitamin
N019,Vitamin B1 (Thiamine),nmol/L,vitamin
N020,Vitamin B2 (Riboflavin),nmol/L,vitamin
N021,Vitamin B7 (Biotin),ng/mL,vitamin
N022,Vitamin B5 (Pantothenic Acid),ng/mL,vitamin
N023,Vitamin B3 (Niacin),ng/mL,vitamin
N024,Cholesterol (Total),mg/dL,lipid
N025,Saturated Fat,g,lipid
N026,Omega-3 Fatty Acids,%,lipid
N027,Net Protein,g,macronutrient
N028,Total Carbohydrates,g,macronutrient
N029,Dietary Fiber,g,carbohydrate
N030,Glucose/Glycemic Impact,mg/dL,metabolic
N031,Manganese,mcg/L,mineral

